"BATCH","Eff1","Eff2","Eff3","SE1","SE2","SE3","VAR11","VAR12","VAR13","VAR21","VAR22","VAR23","VAR31","VAR32","VAR33"
16,-2.95281758806865,-2.18684506579835,-2.87862118704771,1.13634431305088,0.302658323225601,1.09832435203324,1.29127839780307,0.297735959833039,1.23614968922407,0.297735959833039,0.0916020606177321,0.29837291113235,1.23614968922407,0.29837291113235,1.20631638226923
17,-2.00225797102605,-2.69441186952486,-1.38691700660069,0.24351336749595,0.32853588975058,0.511959310344522,0.0592987601492176,0.0652425555839114,-0.014596483555779,0.0652425555839114,0.107935830854205,-0.0770651015714513,-0.014596483555779,-0.0770651015714513,0.262102335448439
18,-2.39941334620619,-3.11334044605572,-2.469195849674,0.383951936471183,0.543764324716151,0.296267178277348,0.147419089519971,0.0276036712843537,0.0380175816547832,0.0276036712843537,0.295679640834011,0.125712122495347,0.0380175816547832,0.125712122495347,0.0877742409244221
19,-2.48660504603255,-2.50559531440809,-2.13509382831673,0.531097429701092,0.179389591301497,0.168024190608266,0.282064479835106,0.0451528989000513,0.0295829737853922,0.0451528989000513,0.032180625467318,0.0227361349309672,0.0295829737853922,0.0227361349309672,0.0282321286295628
20,-1.97453231717552,0.384151590374458,-4.07984228530809,0.301489536936618,2.69045756684387,1.35326498978829,0.0908959408822561,-0.621512085878204,0.237065315768348,-0.621512085878204,7.23856191898745,-2.35494713485949,0.237065315768348,-2.35494713485949,1.8313261325867
21,-1.0265122390313,-3.70767331834732,-3.28614393994746,0.570470297509377,1.51459492182984,2.26149475958365,0.325436360340436,-0.0140370037856027,0.352291472790378,-0.0140370037856027,2.29399777723274,3.22734359126557,0.352291472790378,3.22734359126557,5.11435854762432
22,-2.33328866947438,-2.36199874753207,-1.78695361213256,0.316404810083037,0.278895239234483,0.304578018420972,0.100112003843683,0.0643914470629985,0.0379611400312618,0.0643914470629985,0.0777825544676592,0.069432852561553,0.0379611400312618,0.069432852561553,0.0927677693052458
23,-1.48291179514002,-0.789046705743399,-1.08927401633531,0.304909662538319,1.29462374715088,0.810519418559311,0.0929699023092318,0.349748769053157,0.228743079601927,0.349748769053157,1.67605064668699,1.04106861349886,0.228743079601927,1.04106861349886,0.656941727861723
24,-3.3528716976464,-3.15702507307253,-3.0502501860964,1.60830716508946,0.815964463170363,0.805362847802248,2.5866519372781,1.26960861875885,1.25599826017199,1.26960861875885,0.665798005156899,0.646192399381684,1.25599826017199,0.646192399381684,0.648609316620147
25,-2.47716501523349,-2.6787875834158,-2.48695928902409,0.369434046964471,0.272316567043422,0.237899735613655,0.136481515056547,0.0790287728615554,0.0708392825338298,0.0790287728615554,0.0741563126863146,0.0514852181548564,0.0708392825338298,0.0514852181548564,0.0565962842050468
26,-2.02658050203049,-2.22448036352935,-2.13938825864191,0.270742433722551,0.235288877410031,0.207642216978059,0.0733014654180097,0.0406691853055254,0.0473748502640362,0.0406691853055254,0.0553608558328728,0.0406730459248912,0.0473748502640362,0.0406730459248912,0.0431152902715633
27,-2.59930359033475,-2.4481102289267,-2.21708004394063,0.693453000609851,0.162232490176685,0.285685089882312,0.480877064054807,0.036190364375561,0.181329905894351,0.036190364375561,0.0263193808689283,0.0276334236582104,0.181329905894351,0.0276334236582104,0.0816159705810646
28,-2.11433727221335,-2.30064467246208,-1.81453326602806,0.28266613301969,0.166371177198574,0.180904764659653,0.0799001427563053,0.0210755315693935,0.0106722400787131,0.0210755315693935,0.0276793686024392,0.0236083736909033,0.0106722400787131,0.0236083736909033,0.0327265338765644
29,-1.96374672152721,-2.46494130766833,-1.85535742473351,0.182492546926823,0.22591316393205,0.229541117883041,0.0333035296838387,0.00592776505327089,0.0163858568538351,0.00592776505327089,0.0510367576377891,0.0282130854580641,0.0163858568538351,0.0282130854580641,0.0526891247989961
30,-1.21400043026972,-3.15683545372132,-1.75494644670577,0.289537192263986,0.579126473238462,0.171653171892352,0.0838317857041123,-0.0968906204843239,0.0391421755778438,-0.0968906204843239,0.335387472005619,-0.0192090671500016,0.0391421755778438,-0.0192090671500016,0.0294648114207054
31,-1.52251274949395,-1.5269985795473,-2.95751616519773,0.244080312251491,0.414392845174994,1.06822615323492,0.0595751988287854,0.076163434287316,0.00746906817795418,0.076163434287316,0.171721430132227,-0.209588813519834,0.00746906817795418,-0.209588813519834,1.14110711445508
32,-1.31638384093622,-2.72125060316927,-2.30257238773281,0.420101706928183,0.364544435464785,0.193768265315564,0.176485444163973,-0.102006624071472,0.0110256558138612,-0.102006624071472,0.132892645428339,0.0396766192036664,0.0110256558138612,0.0396766192036664,0.0375461406434029
33,-2.1270647788927,-2.47915441420569,-2.32435937546275,0.194087945513309,0.170338012094066,0.179698087431756,0.0376701305935773,0.0205904944573387,0.0283108990493266,0.0205904944573387,0.0290150383641581,0.0261129452107609,0.0283108990493266,0.0261129452107609,0.0322914026266311
34,-1.48039895359688,-4.6037201931928,-1.36613048435956,0.587399672517275,1.60633528304055,0.398409956269381,0.345038375273401,0.117685766471713,0.0447698686032164,0.117685766471713,2.58031304154098,-0.527588047710831,0.0447698686032164,-0.527588047710831,0.15873049325457
35,-2.01055273764292,-2.38882927315807,-2.12829604403737,0.195261984856262,0.224642306851587,0.177418608006586,0.0381272427300071,0.03541421618425,0.0208781176049504,0.03541421618425,0.0504641660276027,0.0221231058252485,0.0208781176049504,0.0221231058252485,0.0314773624669946
36,-2.95302948555909,-3.12256189334266,-3.10812196236859,0.843254758602981,0.630352485844244,0.775613284487824,0.711078587906571,0.50271985803125,0.647899653723526,0.50271985803125,0.397344256410018,0.476504346167396,0.647899653723526,0.476504346167396,0.601575967073991
37,-1.77626050358452,-2.05455019479411,-1.87336705321087,0.229423150189024,0.192221602139836,0.172906263295539,0.0526349818426554,0.0281553974600016,0.0274227807352496,0.0281553974600016,0.0369491443292053,0.0292219813659029,0.0274227807352496,0.0292219813659029,0.0298965758868261
38,-1.33069210903824,-2.90065130677231,-1.84948662100627,0.302616639141464,0.213585804536701,0.194017112630963,0.0915768302852752,0.0097527539307342,0.0481982792856136,0.0097527539307342,0.04561889589959,0.0239066734327322,0.0481982792856136,0.0239066734327322,0.0376426399936558
39,-3.67306967762089,-2.89552568044018,-2.67813766960899,1.05116702581282,0.738058482396878,0.924802492182744,1.10495211615618,0.721281865667782,0.875072801153567,0.721281865667782,0.544730323437983,0.663177941887165,0.875072801153567,0.663177941887165,0.855259649547413
40,-1.95040808923713,-2.04138462841842,-2.32703185491041,0.181643730012863,0.21839817690746,0.193321040484463,0.0329944446529858,0.0160881828672589,0.0198724074397614,0.0160881828672589,0.0476977636765021,0.0217000342970267,0.0198724074397614,0.0217000342970267,0.0373730246939956
41,-0.464781913575281,-3.24736662910823,-1.31060692171401,1.20996125663442,0.577605684892011,0.808166095845982,1.46400624255635,-0.512309100562496,0.948403516680591,-0.512309100562496,0.33362832721957,-0.326641836949286,0.948403516680591,-0.326641836949286,0.653132438474937
42,-2.35833142786623,-2.08778270462066,-1.91476725148896,0.470742521171089,0.182879026814829,0.177332333037166,0.221598521238513,0.064017249713624,0.0445820006585595,0.064017249713624,0.033444738448739,0.0258029816536803,0.0445820006585595,0.0258029816536803,0.0314467563404043
43,-8.98348523907831,-2.80348063389339,-6.92579292216313,6.74098427021244,0.548319836682335,4.51891611665752,45.4408689312515,3.53541122115469,30.441734663659,3.53541122115469,0.300654643299343,2.38206340369903,30.441734663659,2.38206340369903,20.4206028693871
44,-2.1257491051034,-2.25314514095722,-2.06726960340328,0.223703070181581,0.178472857389304,0.176440380530174,0.0500430636086653,0.0293524475706587,0.0323219516114098,0.0293524475706587,0.0318525608247029,0.0282669454144589,0.0323219516114098,0.0282669454144589,0.0311312078816327
45,-2.34406913747512,0.57690638901424,-1.91362084808571,0.452877305804611,1.50724018046399,0.404155690068365,0.205097854112843,-0.100425376157448,0.05456861358283,-0.100425376157448,2.27177296160512,-0.0444577705587062,0.05456861358283,-0.0444577705587062,0.163341821814637
46,-5.29920403391162,-4.70516828345932,-2.56604590152323,2.07506779694875,1.63009566184093,0.444805416270367,4.30590636193372,2.95674517832394,0.618768175373503,2.95674517832394,2.65721186675261,0.533257596980081,0.618768175373503,0.533257596980081,0.197851858343455
47,-2.27039822104958,-2.83543956696095,-3.06640847631921,0.266002045321851,0.530941275123836,0.72603714528589,0.0707570881154083,0.0207293031828104,0.136090809913291,0.0207293031828104,0.281898637630125,0.253671375794266,0.136090809913291,0.253671375794266,0.527129936334884
48,0.596766423209614,-1.03775509485487,-2.14372072221534,1.78740542061225,1.31164641582449,0.261725215862857,3.19481813763407,2.25232961522784,-0.055237171231303,2.25232961522784,1.72041632014522,0.00826441393753607,-0.055237171231303,0.00826441393753607,0.0685000886184593
49,-1.01989133219014,-2.20298587937349,-2.26390042649325,0.951499839913306,0.241933614769426,0.204744144881014,0.905351945355048,-0.0763049079392814,-0.0357846542360025,-0.0763049079392814,0.058531873955401,0.0174947666691047,-0.0357846542360025,0.0174947666691047,0.0419201648630579
50,-2.48555985541527,-3.3015373333544,-2.0001944718977,0.392773121450978,0.584549093339627,0.167981100549091,0.154270724934345,0.190548249474564,0.0271488264825296,0.190548249474564,0.34169764252418,0.0284406714357827,0.0271488264825296,0.0284406714357827,0.0282176501416839
51,-1.74754356083229,-2.7338788497162,-2.05939406022969,0.403592141678766,0.475313785696617,0.188784878130234,0.162886616824853,-0.0904269290530534,0.0599975884965826,-0.0904269290530534,0.22592319487325,-0.0153437542900181,0.0599975884965826,-0.0153437542900181,0.0356397302106473
52,-1.34664443705416,-1.98194362230895,-2.32239950906001,0.473057424321494,0.202949825818303,0.279146944000369,0.223783326705686,0.0623847911834998,-0.04571889090131,0.0623847911834998,0.0411886317996795,0.0129954219194488,-0.04571889090131,0.0129954219194488,0.0779230163447449
53,-2.40491378731042,-2.25564040302028,-2.33207793495281,0.672005257280663,0.197894205671659,0.260286728177622,0.45159106581285,0.0731647261901171,0.116996285702016,0.0731647261901171,0.0391621166384167,0.0480255726390897,0.116996285702016,0.0480255726390897,0.0677491808654115
54,-2.56687261433102,-2.39848390174754,-2.4865303944138,0.38334658267709,0.173870599866907,0.197810761001371,0.146954602450203,0.0337117237623406,0.0476926673272247,0.0337117237623406,0.0302309854980782,0.0314528632708097,0.0476926673272247,0.0314528632708097,0.0391290971679413
55,-1.77616052333138,-2.33482000724736,-1.96527763153823,0.192593496329742,0.210579846122281,0.220260015724558,0.0370922548285142,0.0252690428535827,0.0311252282904519,0.0252690428535827,0.0443438715928836,0.0368057458905579,0.0311252282904519,0.0368057458905579,0.0485144745269827
