"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.1,-1.98253265350006,-2.18632065732144,-2.03153848065938,-2.02429849724953,-2.01466731545742,-2.0662420395728,-2.08180849072821,-1.80501692683121,-2.03528107609992,-2.16007584714023,-1.93264430480504,0.395647380631777,0.410964209879053,0.403758090835446,0.387195911051434,0.46399699525835,0.387761939133806,0.370516545337052,0.409603805290374,0.382167261478167,0.370884556304926,0.387635938381575
0.11,-2.03146388213097,-2.09601547382319,-2.02811220610853,-1.947303943729,-2.17142711635649,-1.88620661387524,-1.95269000947929,-2.09141504800376,-2.00755926279034,-2.00258453723499,-2.08768200899022,0.385489925366741,0.36860004413858,0.382289857911589,0.383239831960349,0.382059834127223,0.401566147733968,0.401887316320539,0.373733733294281,0.379184536597904,0.398670205053103,0.386728702749526
0.12,-2.10172836567361,-2.1008182073552,-2.04903396274229,-2.07234631186856,-2.08801989371733,-2.09127029492223,-2.01864461805451,-1.9553383473698,-2.10012767517231,-2.08311900928132,-1.94434643637436,0.372840402379781,0.37344590820648,0.39217247822333,0.375263527298241,0.373622264511273,0.373023719186308,0.387327004864114,0.388762386511651,0.375352311576775,0.380624467732776,0.38625426872148
0.13,-2.07470282887831,-1.96424584056056,-2.09271201613044,-2.16213238338415,-2.09013295854587,-2.09175167217406,-2.08726374389897,-2.10060865122725,-1.88145855154575,-2.09393994991533,-2.08966923377864,0.373800985028823,0.396196743518436,0.374128047232216,0.371067522338603,0.374483632792072,0.372562582205418,0.372886543503263,0.364391037080887,0.386250761043082,0.373666252010593,0.372897167222631
0.14,-1.89401799255693,-2.0750082280783,-2.08618111830991,-1.78480692589476,-1.99279061235388,-2.07334952234815,-2.05420306609676,-2.07036739855968,-1.80958021107142,-2.08092700777994,-1.69560022084387,0.448844045583444,0.370388882870563,0.369086191704206,0.419376336762445,0.393416120476651,0.368637651036901,0.367946593212711,0.38019551165514,0.456067263044548,0.372827039209387,0.461371792203919
0.15,-1.72875328891162,-2.10397705318282,-2.00350005634116,-2.13328134846222,-2.20840921555991,-2.02012351254583,-1.70949862754567,-1.81419220165627,-2.11789046176719,-1.86421900947199,-2.0138069630594,0.449122867552086,0.373380199697377,0.383000596642285,0.394763502115743,0.419680284263056,0.386572598278968,0.40194834301094,0.480274446042179,0.340365604757526,0.388326049838596,0.393441932177672
0.16,-1.9956350851678,-2.28058313298292,-1.766401775009,-2.08128408213918,-2.02339721519371,-1.92747882215078,-1.91360070571586,-2.12490314739814,-2.00978177555765,-1.93452345207675,-1.87086265038884,0.363491367072976,0.351932941238626,0.401328547509026,0.370822424214077,0.377036380749116,0.398784854348465,0.412260932565721,0.493834460867031,0.384093269884671,0.419786668276777,0.379957716883015
0.17,-1.80501407473597,-1.98708161701356,-2.01355302848801,-2.06574894188931,-1.75609178167138,-1.96314191467851,-1.93467113005264,-2.02444588260485,-1.77388423871429,-1.99380459553062,-1.83655621487059,0.424149042252692,0.379709119331131,0.374102937891698,0.376919670221991,0.410696481261328,0.391368812092358,0.383407187573464,0.382997707786646,0.398423377171963,0.37113461054207,0.392152987374397
0.18,-2.07210379068653,-1.71597538917456,-1.74192614405744,-1.91978410025034,-1.89722171842238,-1.76697550820554,-1.88985511682843,-2.03289916438329,-1.96559313611423,-2.17813236809341,-2.02176681540323,0.361748543012693,0.398815443114752,0.402906668931733,0.394443387818245,0.40235944121346,0.395393081581731,0.380359928691678,0.436964993776357,0.385383849140706,0.445487979151727,0.371196115691684
0.19,-1.59381893799613,-1.86660256193864,-1.99497234477371,-1.97144854472212,-1.80253387442205,-1.81925190403602,-1.94506101373182,-1.8011424973862,-2.08501727529858,-2.02177109707673,-2.00965167492603,0.40352391687663,0.393624796355972,0.369287340712651,0.379004797582751,0.417503247696383,0.392090245446088,0.382476351575062,0.405625519555414,0.396139395364956,0.388274613964734,0.371181287984292
0.2,-1.86202488602769,-2.02784985597991,-1.65501708209149,-1.65537334872461,-2.00453011392557,-2.0095262651707,-1.94400544234952,-1.83374475683229,-1.72457341697632,-1.97773328844934,-1.99594270792037,0.402402294285192,0.444382601369681,0.381759706834968,0.381761421327046,0.36125891034232,0.373585884168818,0.386360051250366,0.433553302775055,0.393632188949057,0.392561615199109,0.408235137293656
