"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.13,-2.17168814418992,-2.40008877330343,-2.17945965707215,-2.17843255653027,-2.29339769559859,-2.40785024525541,-2.1748762665356,-2.1836225852809,-2.17124437022084,-2.19138644702057,-2.12170050198653,0.412724509291985,0.414127157242411,0.413228224562497,0.413163253852434,0.440647206466969,0.414151326073391,0.413040218980499,0.413231226463379,0.412712656339732,0.420944814849916,0.409307730340375
0.14,-2.72033600984025,-2.78569804481442,-2.92784009292444,-2.71990276069796,-2.83926475301675,-2.26784055971793,-2.21827779216926,-2.55799096282285,-2.8448353650964,-2.6605007043535,-2.18676361124571,0.378496051473303,0.394222117559937,0.389184769987961,0.419027345434096,0.393803260965661,0.403998499892185,0.379553884040375,0.393603071971999,0.420870056322096,0.357585388123781,0.416193178795266
0.15,-2.68879317416025,-2.43515826759085,-2.8338212413129,-2.72204987470305,-2.10093688503545,-2.21045165671456,-2.48062569918186,-2.66864685148123,-2.24512863499556,-2.20022505079879,-3.18551644515175,0.449359509887537,0.476074593733092,0.470156719425336,0.454810239713622,0.472049374956425,0.456457202647281,0.48411681638633,0.365062299361824,0.41278246193809,0.414883960014295,0.414495433545261
0.16,-2.14733668847664,-2.13919902814763,-2.20641030512917,-2.20383745399647,-2.20248784703058,-2.17344789774963,-2.49522162913762,-2.20638659142281,-2.05468251658684,-2.20177250951195,-2.23230491857228,0.409346106598093,0.413732459358634,0.409532798906747,0.410431338732179,0.414236356521668,0.410257889429731,0.392265135061129,0.409531114194913,0.411048920260538,0.41687366427777,0.412089521664556
0.17,-2.24981517636136,-2.06347359066776,-1.94679869257714,-2.05831327304983,-1.98918382645552,-2.11882229277802,-2.06052650909392,-2.06961187166926,-2.34221183031368,-3.03998162051026,-2.06452588842301,0.414371454499862,0.416879558286495,0.406461014414012,0.418309726850753,0.415950404224687,0.41080035777877,0.418595930895368,0.412246840507968,0.409341237540205,0.379452019608715,0.413619070023184
0.18,-2.64603924856722,-2.76638215262174,-2.8502088680396,-2.55466274571031,-2.65000056029655,-2.21342505973003,-2.6019326856407,-2.15342604287998,-2.82340719706316,-2.67530074571895,-2.53553453469073,0.420969957952563,0.402548809915553,0.396281093725736,0.412272738570984,0.380757208348383,0.430018570780515,0.375735487986096,0.41625328770248,0.398816634301599,0.422219978642954,0.412596720087585
0.19,-2.20607088279833,-2.09133122809213,-2.13636780308088,-2.76708883246461,-2.3645044473736,-2.48990043799682,-2.12981995692582,-2.12687149321629,-2.16310004482479,-2.11216301730556,-2.31347229322685,0.412886668489802,0.416106643762386,0.407809119713093,0.427017924749271,0.415740980620344,0.431090114287875,0.415295431296744,0.417868893722237,0.408405655720802,0.409500374651404,0.428750807179019
0.2,-2.23411425916037,-2.15093799448692,-2.22908335229872,-2.23547283478664,-2.14959939750186,-2.11501342005484,-2.07721933907585,-2.23002055464264,-2.14272469237616,-2.14717066323779,-2.23521759427412,0.411808222669008,0.408867560650441,0.412035804427254,0.412980978443784,0.410735069773463,0.409256806191819,0.408666809268367,0.411438992249429,0.416213885228573,0.411070761351407,0.412989608767663
0.21,-2.25151088719093,-2.33106130307815,-2.1014641788934,-2.24636516473289,-2.3230033741148,-2.21749568033524,-2.08496209846352,-2.16977729360771,-2.15568128555046,-2.22182904926756,-1.93411219297327,0.408033515835203,0.407719598379431,0.410464333520728,0.408486574405286,0.41170621853123,0.40516980076972,0.411398655109645,0.410744686154214,0.411815442610525,0.407084370411636,0.412456296663651
0.22,-2.16940443371686,-2.16677397808465,-2.17938971543927,-2.14792906012091,-2.1692684504435,-2.12663173445229,-2.1182928941369,-2.1733044145025,-2.17994901091208,-1.94940279477928,-2.22047204900289,0.41112787478157,0.410986943334863,0.409879815506339,0.408916466433799,0.410326590669689,0.411237208427919,0.393850189155005,0.411652666840519,0.414167308362644,0.412679051476186,0.428457840544291
0.23,-2.00446073098202,-2.17526035370076,-1.94024402173652,-2.04801281880385,-2.02636143292117,-2.18154659004813,-1.96061382159612,-1.96049769364321,-2.21707029468835,-1.97332013762108,-2.22261721341128,0.407794173253863,0.417935817078453,0.425315501925873,0.407425430186029,0.409069739531703,0.407423376475856,0.414862923988341,0.414858398040633,0.402605237899243,0.41219952933924,0.415898052753541
0.24,-1.95504723734161,-1.86655713146713,-2.23189620821054,-2.0913329402387,-1.95153759237484,-1.93843796984997,-1.83560665177278,-2.14187868732434,-1.83630557557319,-1.93884175723565,-1.9549616231,0.408673149498387,0.40610361894545,0.409884086733262,0.411206631796317,0.402189075691937,0.409547691444727,0.412718137656906,0.420246083181952,0.412672658698937,0.408954018760844,0.408660048839726
0.25,-2.0776133214563,-2.2172321724017,-2.17561827638976,-2.19387180865259,-2.17829803788721,-2.16074316752351,-2.05879212690673,-2.17401054378314,-2.12866273207375,-2.16925756456305,-2.13743071496597,0.418533505365123,0.400159053326764,0.404651991541107,0.400231377752987,0.404959363815284,0.408464801082214,0.419764515748665,0.399776858856612,0.405424963280099,0.40816434671182,0.406706102726466
0.26,-1.92767903914664,-2.06790149143548,-1.94825487005412,-2.04466196874238,-2.60839679690968,-1.9278324382102,-1.91560501513339,-1.92368684969644,-2.69925774253647,-2.55242997454252,-1.92778036910128,0.418324785237204,0.396332500163143,0.420394479533605,0.406554810030655,0.361087185416519,0.418317964876122,0.418568980771051,0.416240188580617,0.363859210544481,0.368540818555207,0.418312981067493
0.27,-2.10161431117139,-2.11100798002681,-2.07518804149451,-2.08932269470157,-2.11480933200184,-2.14126029633559,-2.07103624257366,-2.1022096294075,-2.11697112045899,-2.6370830840153,-2.06215177318704,0.408186269999482,0.408342626352501,0.408816784294372,0.408302076071782,0.404396696187795,0.408522553765327,0.408445341106693,0.408836780452775,0.417593487165454,0.363373215812078,0.415598628346052
0.28,-2.05393713531883,-1.87441593680156,-2.07582306901021,-2.07450255592754,-2.11288351088799,-2.0356862951978,-1.78261982923596,-2.13695377161962,-2.07865830648385,-2.10903566873133,-2.03172706090517,0.412348764795518,0.397156944653803,0.403964314198711,0.406383353081021,0.411025957650734,0.403552690232752,0.391530116792303,0.403211971367278,0.407883948475915,0.406129085090909,0.409438883470899
0.29,-2.12138991156861,-2.1263976256254,-2.06081250394658,-1.86386592050978,-1.95617071313951,-2.12560445369726,-2.09897660905957,-2.43676274383481,-2.02063008739483,-1.97841267097681,-2.03448413935407,0.408517793113856,0.412603383244175,0.404691913390873,0.40935489338673,0.413682351632475,0.396561002047684,0.402320679057067,0.389642020299413,0.41054746191826,0.49262312724801,0.401823677554893
0.3,-2.06082495755871,-2.02957245016868,-2.108328249375,-2.07538627502056,-2.16489139190479,-2.04816355847759,-2.03678683369993,-2.05908236839477,-2.08851489577739,-2.02510530316993,-1.92355675336797,0.400018452419659,0.404441084394825,0.400810267530484,0.397755136793029,0.387858797547993,0.412090760943039,0.399919706897538,0.397061991654675,0.397204513862604,0.401783615683085,0.413516306898406
0.31,-2.17713989090726,-2.26078337646693,-1.99872914286903,-1.1557330715496,-2.25155988170838,-2.00347499645829,-2.00124620869055,-2.03665339170173,-2.11113905560945,-2.17330313204239,-1.65610418639366,0.400010336202574,0.403470678406274,0.400069312318631,0.480819592984505,0.399591006790998,0.416140917502641,0.416957059965997,0.415793404804233,0.403494834890428,0.408327793742717,0.409248235834228
0.32,-2.23327475120998,-2.24089392624902,-1.78853018533162,-1.89607720654447,-2.3562703339143,-1.86169699063962,-1.84586619618754,-1.81075321442272,-2.02716241035737,-1.8135061699562,-1.84796250470472,0.409841968582139,0.409868313494745,0.384329164388469,0.370313304224707,0.359876859092021,0.372326563392302,0.402180272256984,0.383863738991638,0.394143754902362,0.419023024783862,0.412562689937456
0.33,-1.96758496197498,-1.97646559436617,-1.68596708889394,-2.05686625777904,-2.09016467087293,-1.79412301493932,-1.82388660164603,-1.85052431508191,-2.03144062100587,-1.83505603894373,-1.88630525353204,0.401652232797799,0.37591702927796,0.424890623011084,0.403255913488935,0.409561329613564,0.405951535252091,0.393304848658901,0.404730563942991,0.398214569119878,0.398570458566683,0.398625024991572
0.34,-1.94231131383884,-1.88896497197546,-1.94463646544931,-1.91134867644523,-2.02772314192312,-1.94157728959302,-1.98272647335315,-1.95906527713009,-2.05203452829051,-1.96325607466081,-1.92956278882796,0.396180587098994,0.393478490637922,0.398103106681998,0.397623145491825,0.40950697115548,0.399845544317941,0.397915928929353,0.397182792953132,0.401630569373211,0.398555386811407,0.412649722435833
0.35,-1.68686752779635,-2.06781771921808,-1.75613996034599,-2.41684039873962,-2.20225435761108,-2.07836635065804,-1.78901133880267,-1.90238234173806,-1.96505653895206,-2.04146975607725,-1.78305288179555,0.427271884052278,0.406486457529588,0.444205898537292,0.397929468696642,0.391896890237489,0.409006771516491,0.405429875333917,0.423766592560125,0.407173022616288,0.394698814882058,0.425312825970953
0.36,-1.94011661972761,-1.93141605388754,-1.89151572205374,-1.93145495987709,-2.06924066944052,-1.81994082876779,-1.94561127782325,-1.69696839385758,-2.07269153067141,-2.07556887858285,-1.96235292824975,0.395001726408631,0.400612443907625,0.397096525835301,0.400605222349084,0.401529656827309,0.396175303236743,0.396795980531177,0.410560340670576,0.400000412165532,0.405768264836848,0.395679001775402
