"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,-2.297552,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874,0.4915874
0.01,-2.02190459394929,-2.26045201679214,-2.06046157836446,-2.26078115446705,-2.34056559080403,-2.05460248744966,-2.08307347725115,-2.01088261260511,-2.28605802262138,-1.98196681576509,-2.32899939685883,0.524227857018823,0.528110799181175,0.535439999620303,0.528089015492157,0.506102184534684,0.526180531421886,0.526047703680632,0.534858232501883,0.527513624292163,0.526978122014201,0.543692029110021
0.02,-2.23665770889141,-2.26915992212825,-1.60142680082828,-1.60259385307321,-1.60886192944253,-2.1852787211685,-1.60455080784095,-2.38077607702434,-2.2597496416339,-2.19891040574384,-2.12512116749347,0.514861036215395,0.519682326507171,0.535176601787042,0.544007266667075,0.540996759570426,0.52288496064761,0.540516725040737,0.425067764914074,0.527756357867766,0.541066547361084,0.525866575364495
0.03,-2.00591579059278,-1.96340219946431,-2.0916438180439,-2.00575395889424,-1.78467708202007,-2.00603437980627,-2.00630849439068,-1.74098949764688,-2.22646529213305,-2.15142475845071,-2.09521049372278,0.520767724242177,0.527979692811652,0.522858940373953,0.520779099249044,0.506477949432923,0.520793255336177,0.520781584154554,0.537660587844708,0.496665517835113,0.525540070336968,0.500097686842943
0.04,-2.21433704316248,-2.01475652703127,-1.93635561576981,-1.4978453653868,-2.23945950416218,-2.04384543641145,-1.93531488390159,-1.76443963817067,-1.75496935308448,-2.07189990891287,-1.87911848307736,0.525241541532921,0.578179019879743,0.507253954870079,0.531218242916491,0.514677200432967,0.526100851636917,0.507175965108508,0.500294180797174,0.518495481187397,0.550118964500389,0.516133570521624
0.05,-2.26540275911042,-1.46756375019686,-2.12622021938233,-2.17690958842675,-1.98226371273933,-1.48927878929189,-1.94702202567955,-2.34965121807128,-2.0991858143322,-2.17722317120099,-1.90558709784002,0.488838715200909,0.560899676820107,0.540780999831081,0.515327777470057,0.517634640699433,0.564589922153654,0.529571705841317,0.583278044861109,0.538131265017775,0.515351199437668,0.503875402428225
0.06,-2.25557425217262,-2.19800944589395,-1.67008217560557,-1.49008900367845,-2.11431075982864,-2.13031961367241,-2.18901519815022,-2.36780278070363,-2.38967274273111,-1.66915272343377,-2.11878109795506,0.495982627634785,0.517182329120413,0.520237770656111,0.479292809612605,0.508913986516214,0.50126121801233,0.522474339639165,0.467714314407653,0.422685419713458,0.485580486411551,0.516124882219263
0.07,-2.21709911907934,-2.01057797872295,-2.22600226186211,-2.36956599213744,-2.02336635692496,-2.14259873836749,-2.56636929500922,-2.04749042222086,-2.49363375005936,-1.95229920244017,-2.05089548949651,0.561269690131998,0.541571748060356,0.562793799343502,0.52715116002019,0.513648906451849,0.548543933006836,0.53484510109227,0.478311884642413,0.558105155770061,0.594244921265227,0.532751691285655
0.08,-1.70710813540848,-1.92436051615001,-2.05010416296088,-1.72340561615733,-2.05303762293476,-1.62790771477542,-1.49484757952064,-2.26458371414466,-2.11501077746721,-1.82530551755768,-2.1380315587677,0.53118624459348,0.500968509612336,0.527200576901981,0.522259769761409,0.52665556108107,0.556459631880015,0.485817772116732,0.465866911205273,0.506090957906156,0.542256692081722,0.549168498450387
0.09,-2.0620793936832,-2.28626850177464,-2.04599921089911,-2.24696486117499,-1.76187227694244,-2.06977254612582,-2.28010104303457,-2.19469924629502,-2.36180945097441,-2.05707324536512,-1.9473923675558,0.53384476958687,0.452127308281993,0.52965051459553,0.501153693488068,0.502520037807504,0.502829893873398,0.492196955928667,0.498673946351575,0.475965952311887,0.520348856691169,0.525121803291207
